game_id,shot_made_flag,shot_type,game_date,matchup,opponent,game_score
20000012,0,2,10/31/00,LAL @ POR,POR,0
20000012,0,2,10/31/00,LAL @ POR,POR,0
20000012,1,2,10/31/00,LAL @ POR,POR,2
20000012,0,2,10/31/00,LAL @ POR,POR,0
20000012,1,2,10/31/00,LAL @ POR,POR,2
20000012,0,2,10/31/00,LAL @ POR,POR,0
20000012,1,2,10/31/00,LAL @ POR,POR,2
20000012,0,2,10/31/00,LAL @ POR,POR,0
20000012,1,2,10/31/00,LAL @ POR,POR,2
20000012,0,2,10/31/00,LAL @ POR,POR,0
20000012,0,3,10/31/00,LAL @ POR,POR,0
20000019,1,2,11/1/00,LAL vs. UTA,UTA,2
20000019,1,2,11/1/00,LAL vs. UTA,UTA,2
20000019,0,2,11/1/00,LAL vs. UTA,UTA,0
20000019,0,2,11/1/00,LAL vs. UTA,UTA,0
20000019,0,2,11/1/00,LAL vs. UTA,UTA,0
20000019,0,2,11/1/00,LAL vs. UTA,UTA,0
20000019,1,3,11/1/00,LAL vs. UTA,UTA,3
20000019,0,2,11/1/00,LAL vs. UTA,UTA,0
20000019,0,2,11/1/00,LAL vs. UTA,UTA,0
20000019,0,2,11/1/00,LAL vs. UTA,UTA,0
20000019,0,2,11/1/00,LAL vs. UTA,UTA,0
20000019,1,2,11/1/00,LAL vs. UTA,UTA,2
20000019,1,2,11/1/00,LAL vs. UTA,UTA,2
20000019,1,2,11/1/00,LAL vs. UTA,UTA,2
20000019,0,2,11/1/00,LAL vs. UTA,UTA,0
20000019,0,2,11/1/00,LAL vs. UTA,UTA,0
20000019,0,3,11/1/00,LAL vs. UTA,UTA,0
20000019,0,2,11/1/00,LAL vs. UTA,UTA,0
20000019,0,2,11/1/00,LAL vs. UTA,UTA,0
20000019,1,2,11/1/00,LAL vs. UTA,UTA,2
20000019,0,2,11/1/00,LAL vs. UTA,UTA,0
20000047,0,2,11/4/00,LAL @ VAN,VAN,0
20000047,0,2,11/4/00,LAL @ VAN,VAN,0
20000047,0,2,11/4/00,LAL @ VAN,VAN,0
20000047,0,2,11/4/00,LAL @ VAN,VAN,0
20000047,0,2,11/4/00,LAL @ VAN,VAN,0
20000047,0,2,11/4/00,LAL @ VAN,VAN,0
20000047,1,2,11/4/00,LAL @ VAN,VAN,2
20000047,1,3,11/4/00,LAL @ VAN,VAN,3
20000047,0,2,11/4/00,LAL @ VAN,VAN,0
20000047,1,2,11/4/00,LAL @ VAN,VAN,2
20000047,1,2,11/4/00,LAL @ VAN,VAN,2
20000047,0,2,11/4/00,LAL @ VAN,VAN,0
20000047,0,2,11/4/00,LAL @ VAN,VAN,0
20000047,1,2,11/4/00,LAL @ VAN,VAN,2
20000047,0,2,11/4/00,LAL @ VAN,VAN,0
20000047,1,2,11/4/00,LAL @ VAN,VAN,2
20000047,1,2,11/4/00,LAL @ VAN,VAN,2
20000047,0,2,11/4/00,LAL @ VAN,VAN,0
20000047,0,2,11/4/00,LAL @ VAN,VAN,0
20000047,0,2,11/4/00,LAL @ VAN,VAN,0
20000049,0,2,11/5/00,LAL vs. LAC,LAC,0
20000049,0,2,11/5/00,LAL vs. LAC,LAC,0
20000049,0,3,11/5/00,LAL vs. LAC,LAC,0
20000049,0,3,11/5/00,LAL vs. LAC,LAC,0
20000049,1,3,11/5/00,LAL vs. LAC,LAC,3
20000049,1,2,11/5/00,LAL vs. LAC,LAC,2
20000049,1,2,11/5/00,LAL vs. LAC,LAC,2
20000049,0,3,11/5/00,LAL vs. LAC,LAC,0
20000049,0,2,11/5/00,LAL vs. LAC,LAC,0
20000049,1,2,11/5/00,LAL vs. LAC,LAC,2
20000049,0,2,11/5/00,LAL vs. LAC,LAC,0
20000049,0,2,11/5/00,LAL vs. LAC,LAC,0
20000049,1,2,11/5/00,LAL vs. LAC,LAC,2
20000049,0,2,11/5/00,LAL vs. LAC,LAC,0
20000058,0,2,11/7/00,LAL @ HOU,HOU,0
20000058,0,3,11/7/00,LAL @ HOU,HOU,0
20000058,1,2,11/7/00,LAL @ HOU,HOU,2
20000058,1,2,11/7/00,LAL @ HOU,HOU,2
20000058,0,2,11/7/00,LAL @ HOU,HOU,0
20000058,1,3,11/7/00,LAL @ HOU,HOU,3
20000058,1,2,11/7/00,LAL @ HOU,HOU,2
20000058,0,2,11/7/00,LAL @ HOU,HOU,0
20000058,0,3,11/7/00,LAL @ HOU,HOU,0
20000058,1,2,11/7/00,LAL @ HOU,HOU,2
20000058,0,2,11/7/00,LAL @ HOU,HOU,0
20000058,0,2,11/7/00,LAL @ HOU,HOU,0
20000058,0,2,11/7/00,LAL @ HOU,HOU,0
20000058,0,2,11/7/00,LAL @ HOU,HOU,0
20000058,1,2,11/7/00,LAL @ HOU,HOU,2
20000058,0,2,11/7/00,LAL @ HOU,HOU,0
20000068,0,3,11/8/00,LAL @ SAS,SAS,0
20000068,0,2,11/8/00,LAL @ SAS,SAS,0
20000068,0,2,11/8/00,LAL @ SAS,SAS,0
20000068,0,2,11/8/00,LAL @ SAS,SAS,0
20000068,1,2,11/8/00,LAL @ SAS,SAS,2
20000068,1,2,11/8/00,LAL @ SAS,SAS,2
20000068,1,2,11/8/00,LAL @ SAS,SAS,2
20000068,1,2,11/8/00,LAL @ SAS,SAS,2
20000068,1,2,11/8/00,LAL @ SAS,SAS,2
20000068,1,2,11/8/00,LAL @ SAS,SAS,2
20000068,0,2,11/8/00,LAL @ SAS,SAS,0
20000068,0,2,11/8/00,LAL @ SAS,SAS,0
20000068,0,2,11/8/00,LAL @ SAS,SAS,0
20000068,1,3,11/8/00,LAL @ SAS,SAS,3
20000068,1,2,11/8/00,LAL @ SAS,SAS,2
20000068,0,3,11/8/00,LAL @ SAS,SAS,0
20000068,1,2,11/8/00,LAL @ SAS,SAS,2
20000068,0,2,11/8/00,LAL @ SAS,SAS,0
20000068,0,2,11/8/00,LAL @ SAS,SAS,0
20000068,1,2,11/8/00,LAL @ SAS,SAS,2
20000068,1,2,11/8/00,LAL @ SAS,SAS,2
20000068,0,2,11/8/00,LAL @ SAS,SAS,0
20000068,0,2,11/8/00,LAL @ SAS,SAS,0
20000068,0,2,11/8/00,LAL @ SAS,SAS,0
20000068,0,2,11/8/00,LAL @ SAS,SAS,0
20000068,0,2,11/8/00,LAL @ SAS,SAS,0
20000068,0,2,11/8/00,LAL @ SAS,SAS,0
20000068,1,2,11/8/00,LAL @ SAS,SAS,2
20000068,0,2,11/8/00,LAL @ SAS,SAS,0
20000068,0,2,11/8/00,LAL @ SAS,SAS,0
20000068,0,2,11/8/00,LAL @ SAS,SAS,0
20000098,0,2,11/12/00,LAL vs. HOU,HOU,0
20000098,0,2,11/12/00,LAL vs. HOU,HOU,0
20000098,0,2,11/12/00,LAL vs. HOU,HOU,0
20000098,0,2,11/12/00,LAL vs. HOU,HOU,0
20000098,1,2,11/12/00,LAL vs. HOU,HOU,2
20000098,1,2,11/12/00,LAL vs. HOU,HOU,2
20000098,0,2,11/12/00,LAL vs. HOU,HOU,0
20000098,1,2,11/12/00,LAL vs. HOU,HOU,2
20000098,1,2,11/12/00,LAL vs. HOU,HOU,2
20000098,0,2,11/12/00,LAL vs. HOU,HOU,0
20000098,1,2,11/12/00,LAL vs. HOU,HOU,2
20000098,1,3,11/12/00,LAL vs. HOU,HOU,3
20000098,0,2,11/12/00,LAL vs. HOU,HOU,0
20000098,1,2,11/12/00,LAL vs. HOU,HOU,2
20000098,1,2,11/12/00,LAL vs. HOU,HOU,2
20000098,0,2,11/12/00,LAL vs. HOU,HOU,0
20000098,0,2,11/12/00,LAL vs. HOU,HOU,0
